,user_ids
0,C-1310-2010
1,O-1192-2018
2,I-1384-2013
3,G-2230-2016
4,F-1300-2011
5,B-7631-2016
6,A-2451-2016
7,C-6464-2009
8,E-4710-2010
9,O-9291-2018
10,B-5135-2009
11,E-9201-2010
12,A-6193-2013
13,C-7868-2014
14,E-9541-2013
15,E-6442-2016
16,C-4029-2012
17,E-6522-2011
18,A-4665-2008
19,M-3420-2016
20,B-9887-2017
21,L-4726-2016
22,I-3974-2014
23,B-9095-2017
24,A-5069-2012
25,A-2003-2014
26,Q-2682-2017
27,C-6791-2015
28,B-4760-2010
29,C-2335-2012
30,I-9563-2014
31,D-7225-2015
32,G-8534-2015
33,G-4299-2016
34,O-9691-2015
35,K-1544-2017
36,K-7556-2017
37,D-9357-2017
38,O-3386-2013
39,B-5544-2009
40,D-1838-2013
41,C-5062-2015
42,C-5051-2015
43,J-9665-2014
44,B-4476-2015
45,M-9140-2015
46,J-7824-2015
47,C-9120-2015
48,D-7098-2012
49,E-1984-2011
50,M-5118-2015
51,A-6258-2008
52,L-9469-2015
53,H-3562-2011
54,A-8418-2008
55,F-8292-2010
56,C-3670-2011
57,I-1544-2014
58,H-3329-2017
59,G-5636-2010
60,B-3468-2010
61,L-3964-2018
62,H-6122-2011
63,K-6165-2012
64,I-6031-2015
65,A-8573-2012
66,B-6950-2017
67,V-6618-2017
68,F-9989-2011
69,F-2420-2013
70,I-4375-2016
71,R-3997-2017
72,I-7725-2012
73,G-9443-2011
74,K-6127-2015
75,F-2850-2015
76,S-3028-2017
77,D-3205-2013
78,B-4456-2008
79,P-4374-2018
80,B-3966-2012
81,L-4494-2016
82,P-7407-2016
83,B-3277-2009
84,E-7452-2015
85,A-2067-2017
86,C-2071-2015
87,H-9098-2012
88,A-1204-2012
89,D-8198-2011
90,O-3919-2015
91,O-5014-2016
92,E-8288-2015
93,F-2515-2010
94,A-4037-2009
95,B-3802-2013
96,O-2520-2014
97,H-1420-2017
98,C-7635-2012
99,O-2004-2016
100,N-7380-2015
101,E-2605-2011
102,D-8509-2011
103,C-3692-2014
104,D-7403-2011
105,H-1099-2015
106,J-8936-2018
107,J-6450-2014
108,C-7237-2011
109,E-6590-2017
110,L-1981-2013
111,O-8276-2017
112,H-2660-2013
113,D-6624-2011
114,N-1083-2014
115,H-2608-2012
116,E-8061-2016
117,B-8425-2016
118,D-8267-2016
119,C-2388-2008
120,E-3405-2014
121,G-8805-2016
122,C-8303-2016
123,F-7141-2013
124,A-9720-2011
125,M-4189-2014
126,G-6088-2010
127,H-9700-2012
128,J-6352-2012
129,G-1733-2017
130,L-4483-2017
131,M-8004-2014
132,K-6912-2014
133,M-6618-2017
134,F-2026-2016
135,S-6740-2016
136,P-2509-2016
137,G-3670-2011
138,J-8445-2016
139,S-2366-2017
140,N-9460-2013
141,C-4588-2015
142,B-9115-2017
143,I-2234-2017
144,O-5616-2018
145,C-7928-2009
146,D-6356-2016
147,B-7707-2009
148,O-3456-2018
149,M-5289-2014
150,A-7821-2009
151,C-8838-2011
152,B-9289-2008
153,H-5219-2017
154,B-2725-2016
155,C-8020-2013
156,G-6056-2014
157,M-9969-2017
158,N-1507-2014
159,G-9307-2015
160,J-6101-2017
161,K-1758-2016
162,D-6792-2016
163,F-9874-2010
164,F-4520-2015
165,E-1348-2016
166,A-2806-2017
167,C-8256-2009
168,J-3105-2014
169,F-6167-2011
170,E-4632-2017
171,E-2607-2011
172,B-7639-2013
173,G-1295-2014
174,E-2161-2011
175,A-8229-2009
176,A-8197-2013
177,E-2608-2011
178,F-8331-2016
179,D-2067-2017
180,L-2171-2015
181,O-9542-2015
182,G-1694-2017
183,O-4883-2018
184,P-4700-2015
185,A-7467-2009
186,D-2365-2016
187,I-4126-2014
188,Q-4812-2017
189,B-6710-2012
190,E-5152-2013
191,A-3371-2011
192,H-1660-2018
193,C-6589-2016
194,E-4529-2013
195,H-2613-2012
196,W-3816-2017
197,C-3632-2015
198,G-2259-2016
199,E-6218-2018
200,O-8455-2017
201,E-6557-2012
202,N-9023-2013
203,N-4252-2013
204,B-9242-2017
205,D-7573-2018
206,N-5780-2018
207,G-6620-2011
208,O-7330-2018
209,M-3262-2013
210,S-1594-2017
211,N-2372-2017
212,B-9791-2009
213,E-5176-2017
214,J-2404-2018
215,J-1675-2017
216,G-8855-2016
217,D-7468-2017
218,N-9880-2014
219,A-2835-2012
220,D-3391-2015
221,F-4691-2013
222,M-4882-2013
223,H-4207-2016
224,H-2360-2013
225,O-1733-2013
226,C-1441-2013
227,V-5244-2017
228,A-4213-2016
229,B-1475-2014
230,N-8535-2017
231,A-1244-2013
232,B-1688-2017
233,O-3088-2015
234,E-2609-2011
235,A-8286-2009
236,U-3145-2017
237,A-2754-2014
238,F-7751-2015
239,D-2450-2016
240,E-7118-2010
241,B-5438-2008
242,G-3576-2010
243,M-9541-2016
244,M-3148-2018
245,E-6040-2013
246,M-6555-2018
247,W-5117-2017
248,D-7546-2013
249,E-6077-2018
250,C-4832-2012
251,C-3681-2014
252,E-3840-2015
253,R-3187-2017
254,B-7840-2010
255,F-7977-2011
256,O-3343-2013
257,I-6070-2013
258,N-4598-2013
259,B-4835-2013
260,J-8028-2013
261,K-2046-2015
262,D-5018-2015
263,F-2448-2015
264,C-7712-2012
265,M-7655-2017
266,F-3150-2013
267,A-8155-2009
268,A-7166-2009
269,O-2274-2017
270,A-3983-2008
271,F-4570-2011
272,P-2848-2018
273,J-9450-2014
274,L-4895-2015
275,D-7638-2013
276,P-1791-2014
277,C-8021-2018
278,A-7426-2009
279,G-3579-2010
280,D-7856-2012
281,K-1339-2017
282,M-3274-2016
283,P-5794-2016
284,Q-9694-2017
285,F-6204-2010
286,A-9954-2018
287,A-6772-2010
288,B-9306-2016
289,B-8041-2009
290,A-3038-2012
291,P-7094-2016
292,L-1791-2018
293,C-4891-2013
294,H-7649-2012
295,N-4830-2018
296,D-7151-2017
297,E-2660-2015
298,I-9731-2016
299,O-1370-2013
300,C-9056-2013
301,I-7851-2013
302,C-2087-2016
303,P-8183-2017
304,A-1338-2011
305,C-7977-2013
306,J-6813-2012
307,B-7205-2008
308,B-2660-2015
309,B-1883-2008
310,C-7346-2016
311,C-3248-2014
312,B-5014-2012
313,M-4618-2016
314,E-7473-2015
315,O-9558-2014
316,J-6904-2017
317,C-6659-2009
318,K-5989-2012
319,A-8680-2015
320,C-4111-2015
321,A-6710-2013
322,A-1122-2007
323,F-4869-2015
324,O-9714-2018
325,I-9933-2014
326,F-5370-2018
327,L-6762-2016
328,F-9225-2014
329,A-8515-2015
330,I-7604-2016
331,K-8035-2012
332,C-2887-2011
333,I-7757-2013
334,I-7963-2012
335,G-3585-2011
336,B-1653-2017
337,A-1416-2008
338,M-3309-2016
339,C-3926-2016
340,F-4927-2010
341,B-5729-2011
342,G-4456-2014
343,C-3284-2009
344,J-5048-2013
345,J-9401-2014
346,K-5599-2015
347,O-5481-2018
348,L-1182-2016
